Docket Number,Country,Sub Case,Status,Other Reference No.,Application No,Filing Date,No,Due Date,Amount,CPI Payment Date
07DOF0003,CN,,Transferred,07DOF0003-CN-PCT,200980114865.8,10/26/2010,17,2/25/2025,1132,
07DOF0003,CN,,Transferred,07DOF0003-CN-PCT,200980114865.8,10/26/2010,18,2/25/2026,1132,
07DOF0003,TW,,Transferred,07DOF0003-TW-NP,98104838,2/16/2009,11,11/21/2024,548,
07DOF0003,TW,,Transferred,07DOF0003-TW-NP,98104838,2/16/2009,12,11/21/2025,564,
07SFS0001,CN,,Granted,07SFS0001-CN-PCT,200880114221.4,4/30/2010,17,11/11/2024,1132,10/16/2024
07SFS0001,CN,,Granted,07SFS0001-CN-PCT,200880114221.4,4/30/2010,18,11/11/2025,1134,
07SFS0001,DE,,Granted,07SFS0001-DE-EPT,08850372.7,11/11/2008,17,11/11/2024,1745,11/24/2024
07SFS0001,DE,,Granted,07SFS0001-DE-EPT,08850372.7,11/11/2008,18,11/11/2025,2091,
07SFS0001,FR,,Granted,07SFS0001-FR-EPT,08850372.7,11/11/2008,17,11/11/2024,684,11/24/2024
07SFS0001,FR,,Granted,07SFS0001-FR-EPT,08850372.7,11/11/2008,18,11/11/2025,819,
07SFS0001,US,,Abandoned,07SFS0001-US-NP,11/938504,11/12/2007,12,4/29/2025,8287,
07SFS0002,CN,,Abandoned,07SFS0002-CN-PCT,200980103217.2,7/27/2010,17,1/21/2025,1161,12/29/2024
07SFS0002,CN,,Abandoned,07SFS0002-CN-PCT,200980103217.2,7/27/2010,18,1/21/2026,1161,
07SFS0002,DE,,Abandoned,07SFS0002-DE-EPT,09706818.3,7/20/2010,17,1/21/2025,1746,
07SFS0002,DE,,Abandoned,07SFS0002-DE-EPT,09706818.3,7/20/2010,18,1/21/2026,1903,
07SFS0002,FR,,Abandoned,07SFS0002-FR-EPT,09706818.3,7/20/2010,17,1/21/2025,684,
07SFS0002,FR,,Abandoned,07SFS0002-FR-EPT,09706818.3,7/20/2010,18,1/21/2026,745,
07SFS0002,TW,,Abandoned,07SFS0002-TW-NP,98101780,1/17/2009,13,5/21/2025,553,
07SFS0002,TW,,Abandoned,07SFS0002-TW-NP,98101780,1/17/2009,14,5/21/2026,553,
07SFS0003,CN,,Abandoned,07SFS0003-CN-PCT,200980103359.9,1/21/2009,17,1/21/2025,1161,12/29/2024
07SFS0003,CN,,Abandoned,07SFS0003-CN-PCT,200980103359.9,1/21/2009,18,1/21/2026,1161,
07SFS0003,DE,,Abandoned,07SFS0003-DE-EPT,09705086.8,8/20/2010,17,1/21/2025,1746,
07SFS0003,DE,,Abandoned,07SFS0003-DE-EPT,09705086.8,8/20/2010,18,1/21/2026,1903,
07SFS0003,FR,,Abandoned,07SFS0003-FR-EPT,09705086.8,8/20/2010,17,1/21/2025,684,
07SFS0003,FR,,Abandoned,07SFS0003-FR-EPT,09705086.8,8/20/2010,18,1/21/2026,745,
07SFS0003,TW,,Abandoned,07SFS0003-TW-NP,98101782,1/17/2009,13,6/21/2025,553,
07SFS0003,TW,,Abandoned,07SFS0003-TW-NP,98101782,1/17/2009,14,6/21/2026,553,
07VAL0001,CN,,Granted,07VAL0001-CN-PCT,200980125518.5,12/30/2010,17,5/6/2025,1127,4/16/2025
07VAL0001,CN,,Granted,07VAL0001-CN-PCT,200980125518.5,12/30/2010,18,5/6/2026,1134,
07VAL0002,CN,,Granted,07VAL0002-CN-PCT,200980104882.3,8/11/2010,17,1/14/2025,1161,12/16/2024
07VAL0002,CN,,Granted,07VAL0002-CN-PCT,200980104882.3,8/11/2010,18,1/14/2026,1134,
07VAL0002,DE,,Granted,07VAL0002-DE-EPT,09702865.8,1/14/2009,17,1/14/2025,1746,1/24/2025
07VAL0002,DE,,Granted,07VAL0002-DE-EPT,09702865.8,1/14/2009,18,1/14/2026,2091,
07VAL0002,FR,,Granted,07VAL0002-FR-EPT,09702865.8,1/14/2009,17,1/14/2025,684,1/24/2025
07VAL0002,FR,,Granted,07VAL0002-FR-EPT,09702865.8,1/14/2009,18,1/14/2026,819,
07VAL0002,GB,,Granted,07VAL0002-GB-EPT,09702865.8,1/14/2009,17,1/14/2025,665,1/26/2025
07VAL0002,GB,,Granted,07VAL0002-GB-EPT,09702865.8,1/14/2009,18,1/14/2026,778,
08CLC0004,CN,,Abandoned,08CLC0004-CN-PCT,200980152384.6,6/24/2011,16,12/21/2024,1132,
08CLC0004,CN,,Abandoned,08CLC0004-CN-PCT,200980152384.6,6/24/2011,17,12/21/2025,1132,
08CLY0007,CN,,Granted,08CLY0007-CN-PCT,201280015341.5,9/23/2013,14,3/21/2025,878,2/28/2025
08CLY0007,CN,,Granted,08CLY0007-CN-PCT,201280015341.5,9/23/2013,15,3/21/2026,858,
08CLY0007,DE,,Granted,08CLY0007-DE-EPT,12712192.9,3/21/2012,14,3/21/2025,1151,3/24/2025
08CLY0007,DE,,Granted,08CLY0007-DE-EPT,12712192.9,3/21/2012,15,3/21/2026,1417,
08CLY0007,FR,,Granted,08CLY0007-FR-EPT,12712192.9,3/21/2012,14,3/21/2025,474,3/24/2025
08CLY0007,FR,,Granted,08CLY0007-FR-EPT,12712192.9,3/21/2012,15,3/21/2026,581,
08CLY0007,GB,,Granted,08CLY0007-GB-EPT,12712192.9,3/21/2012,14,3/21/2025,427,3/26/2025
08CLY0007,GB,,Granted,08CLY0007-GB-EPT,12712192.9,3/21/2012,15,3/21/2026,541,
08CLY0009,CN,,Granted,08CLY0009-CN-PCT,200980148937.0,6/8/2011,16,12/8/2024,1132,11/16/2024
08CLY0009,CN,,Granted,08CLY0009-CN-PCT,200980148937.0,6/8/2011,17,12/8/2025,1134,
08CLY0009,DE,,Granted,08CLY0009-DE-EPT,09768302.3,12/8/2009,16,12/8/2024,1535,12/22/2024
08CLY0009,DE,,Granted,08CLY0009-DE-EPT,09768302.3,12/8/2009,17,12/8/2025,1867,
08CLY0009,US,,Granted,08CLY0009-US-NP[1],12/744852,2/15/2011,12,10/8/2025,8287,
08LEX0022,CN,,Granted,08LEX0022-CN-PCT,200980149257.0,6/9/2011,16,12/9/2024,1132,11/16/2024
08LEX0022,CN,,Granted,08LEX0022-CN-PCT,200980149257.0,6/9/2011,17,12/9/2025,1134,
08LEX0022,DE,,Granted,08LEX0022-DE-EPT,09768581.2,12/9/2009,16,12/9/2024,1535,12/22/2024
08LEX0022,DE,,Granted,08LEX0022-DE-EPT,09768581.2,12/9/2009,17,12/9/2025,1867,
08LEX0023,CN,,Granted,08LEX0023-CN-PCT,200980149353.5,6/9/2011,16,12/9/2024,1132,11/16/2024
08LEX0023,CN,,Granted,08LEX0023-CN-PCT,200980149353.5,6/9/2011,17,12/9/2025,1134,
08LEX0023,DE,,Granted,08LEX0023-DE-EPT,09768582.0,12/9/2009,16,12/9/2024,1535,12/22/2024
08LEX0023,DE,,Granted,08LEX0023-DE-EPT,09768582.0,12/9/2009,17,12/9/2025,1867,
08LEX0023,US,A,Granted,08LEX0023-US-NP,12/633746,12/8/2009,12,12/3/2025,8287,
08LEX0024,CN,,Granted,08LEX0024-CN-PCT,200980122513.7,12/16/2010,17,4/16/2025,1127,3/29/2025
08LEX0024,CN,,Granted,08LEX0024-CN-PCT,200980122513.7,12/16/2010,18,4/16/2026,1134,
08LEX0024,DE,,Granted,08LEX0024-DE-EPT,09732557.5,4/16/2009,17,4/16/2025,1708,4/24/2025
08LEX0024,DE,,Granted,08LEX0024-DE-EPT,09732557.5,4/16/2009,18,4/16/2026,2091,
08LEX0032,BE,,Granted,08LEX0032-BE-EPT,09737510.9,10/15/2009,16,10/15/2024,474,10/26/2024
08LEX0032,BE,,Granted,08LEX0032-BE-EPT,09737510.9,10/15/2009,17,10/15/2025,570,
08LEX0032,BE,,Granted,08LEX0032-BE-EPT,09737510.9,10/15/2009,18,10/15/2026,631,
08LEX0032,CN,,Granted,08LEX0032-CN-PCT,200980140673.4,4/14/2011,16,10/15/2024,1132,9/16/2024
08LEX0032,CN,,Granted,08LEX0032-CN-PCT,200980140673.4,4/14/2011,17,10/15/2025,1134,
08LEX0032,CN,,Granted,08LEX0032-CN-PCT,200980140673.4,4/14/2011,18,10/15/2026,1134,
08LEX0032,DE,,Granted,08LEX0032-DE-EPT,09737510.9,10/15/2009,16,10/15/2024,1535,10/24/2024
08LEX0032,DE,,Granted,08LEX0032-DE-EPT,09737510.9,10/15/2009,17,10/15/2025,1870,
08LEX0032,DE,,Granted,08LEX0032-DE-EPT,09737510.9,10/15/2009,18,10/15/2026,2091,
08LEX0040,DE,,Granted,08LEX0040-DE-EPT,11779265.5,10/11/2011,14,10/11/2024,1150,10/24/2024
08LEX0040,DE,,Granted,08LEX0040-DE-EPT,11779265.5,10/11/2011,15,10/11/2025,1420,
08LEX0040,DE,,Granted,08LEX0040-DE-EPT,11779265.5,10/11/2011,16,10/11/2026,1642,
08LEX0040,FR,,Granted,08LEX0040-FR-EPT,11779265.5,10/11/2011,14,10/11/2024,474,10/24/2024
08LEX0040,FR,,Granted,08LEX0040-FR-EPT,11779265.5,10/11/2011,15,10/11/2025,582,
08LEX0040,FR,,Granted,08LEX0040-FR-EPT,11779265.5,10/11/2011,16,10/11/2026,656,
08LEX0071,US,A,Granted,08LEX0071-US-NP,13/099026,5/2/2011,12,11/27/2025,8287,
08SFS0004,DE,,Granted,08SFS0004-DE-EPA,09179590.6,12/17/2009,16,12/17/2024,1535,12/22/2024
08SFS0004,DE,,Granted,08SFS0004-DE-EPA,09179590.6,12/17/2009,17,12/17/2025,1867,
08SFS0004,FR,,Granted,08SFS0004-FR-EPA,09179590.6,12/17/2009,16,12/17/2024,614,12/24/2024
08SFS0004,FR,,Granted,08SFS0004-FR-EPA,09179590.6,12/17/2009,17,12/17/2025,731,
08SFS0004,US,,Abandoned,08SFS0004-US-NP[2],12/338396,12/18/2008,12,6/17/2025,8287,
08SFS0004,US,A,Granted,08SFS0004-US-NP,12/338462,12/18/2008,12,6/23/2026,8287,
08SFS0005,CN,,Granted,08SFS0005-CN-PCT,200980137571.7,3/25/2011,16,9/16/2024,1144,8/29/2024
08SFS0005,CN,,Granted,08SFS0005-CN-PCT,200980137571.7,3/25/2011,17,9/16/2025,1134,
08SFS0005,CN,,Granted,08SFS0005-CN-PCT,200980137571.7,3/25/2011,18,9/16/2026,1134,
08SFS0005,DE,,Granted,08SFS0005-DE-EPT,09812465.4,9/16/2009,16,9/16/2024,1515,9/24/2024
08SFS0005,DE,,Granted,08SFS0005-DE-EPT,09812465.4,9/16/2009,17,9/16/2025,1870,
08SFS0005,DE,,Granted,08SFS0005-DE-EPT,09812465.4,9/16/2009,18,9/16/2026,2091,
08SFS0005,FR,,Granted,08SFS0005-FR-EPT,09812465.4,9/16/2009,16,9/16/2024,606,9/24/2024
08SFS0005,FR,,Granted,08SFS0005-FR-EPT,09812465.4,9/16/2009,17,9/16/2025,732,
08SFS0005,FR,,Granted,08SFS0005-FR-EPT,09812465.4,9/16/2009,18,9/16/2026,819,
08SFS0005,US,,Granted,08SFS0005-US-NP,12/237410,9/25/2008,12,11/21/2024,7707,11/21/2024
08SFS0012,CN,,Granted,08SFS0012-CN-PCT,200980144583.2,5/10/2011,16,11/16/2024,1132,10/29/2024
08SFS0012,CN,,Granted,08SFS0012-CN-PCT,200980144583.2,5/10/2011,17,11/16/2025,1134,
08SFS0012,DE,,Granted,08SFS0012-DE-EPT,09756892.7,11/16/2009,16,11/16/2024,1535,11/24/2024
08SFS0012,DE,,Granted,08SFS0012-DE-EPT,09756892.7,11/16/2009,17,11/16/2025,1867,
08SFS0012,FR,,Granted,08SFS0012-FR-EPT,09756892.7,11/16/2009,16,11/16/2024,614,11/24/2024
08SFS0012,FR,,Granted,08SFS0012-FR-EPT,09756892.7,11/16/2009,17,11/16/2025,731,
08SFS0012,GB,,Granted,08SFS0012-GB-EPT,09756892.7,11/16/2009,16,11/16/2024,589,11/26/2024
08SFS0012,GB,,Granted,08SFS0012-GB-EPT,09756892.7,11/16/2009,17,11/16/2025,704,
08SFS0012,US,,Granted,08SFS0012-US-NP,12/274873,11/20/2008,12,4/14/2026,8287,
08SFS0016,CN,,Granted,08SFS0016-CN-PCT,201080039271.8,3/5/2012,15,9/9/2024,867,8/16/2024
08SFS0016,CN,,Granted,08SFS0016-CN-PCT,201080039271.8,3/5/2012,16,9/9/2025,1134,
08SFS0016,CN,,Granted,08SFS0016-CN-PCT,201080039271.8,3/5/2012,17,9/9/2026,1134,
08SFS0016,DE,,Granted,08SFS0016-DE-EPT,10754632.7,9/9/2010,15,9/9/2024,1308,9/24/2024
08SFS0016,DE,,Granted,08SFS0016-DE-EPT,10754632.7,9/9/2010,16,9/9/2025,1645,
08SFS0016,DE,,Granted,08SFS0016-DE-EPT,10754632.7,9/9/2010,17,9/9/2026,1867,
08SFS0016,FR,,Granted,08SFS0016-FR-EPT,10754632.7,9/9/2010,15,9/9/2024,537,9/24/2024
08SFS0016,FR,,Granted,08SFS0016-FR-EPT,10754632.7,9/9/2010,16,9/9/2025,657,
08SFS0016,FR,,Granted,08SFS0016-FR-EPT,10754632.7,9/9/2010,17,9/9/2026,731,
08VAL0015,CN,,Granted,08VAL0015-CN-PCT,200980141520.1,4/20/2011,16,10/20/2024,1132,9/29/2024
08VAL0015,CN,,Granted,08VAL0015-CN-PCT,200980141520.1,4/20/2011,17,10/20/2025,1134,
08VAL0015,CN,,Granted,08VAL0015-CN-PCT,200980141520.1,4/20/2011,18,10/20/2026,1134,
08VAL0015,DE,,Granted,08VAL0015-DE-EPT,09744203.2,10/20/2009,16,10/20/2024,1535,10/24/2024
08VAL0015,DE,,Granted,08VAL0015-DE-EPT,09744203.2,10/20/2009,17,10/20/2025,1870,
08VAL0015,DE,,Granted,08VAL0015-DE-EPT,09744203.2,10/20/2009,18,10/20/2026,2091,
08VAL0015,FR,,Granted,08VAL0015-FR-EPT,09744203.2,10/20/2009,16,10/20/2024,614,10/24/2024
08VAL0015,FR,,Granted,08VAL0015-FR-EPT,09744203.2,10/20/2009,17,10/20/2025,732,
08VAL0015,FR,,Granted,08VAL0015-FR-EPT,09744203.2,10/20/2009,18,10/20/2026,819,
08VAL0015,US,B,Granted,08VAL0015-US-PCT,13/130436,10/20/2009,12,8/3/2026,8287,
08VAL0025,CN,,Granted,08VAL0025-CN-PCT,201080041024.1,3/15/2012,15,9/23/2024,867,8/29/2024
08VAL0025,CN,,Granted,08VAL0025-CN-PCT,201080041024.1,3/15/2012,16,9/23/2025,1134,
08VAL0025,CN,,Granted,08VAL0025-CN-PCT,201080041024.1,3/15/2012,17,9/23/2026,1134,
08VAL0025,DE,,Granted,08VAL0025-DE-EPT,10761098.2,9/23/2010,15,9/23/2024,1308,9/24/2024
08VAL0025,DE,,Granted,08VAL0025-DE-EPT,10761098.2,9/23/2010,16,9/23/2025,1645,
08VAL0025,DE,,Granted,08VAL0025-DE-EPT,10761098.2,9/23/2010,17,9/23/2026,1867,
08VAL0025,FR,,Granted,08VAL0025-FR-EPT,10761098.2,9/23/2010,15,9/23/2024,537,9/24/2024
08VAL0025,FR,,Granted,08VAL0025-FR-EPT,10761098.2,9/23/2010,16,9/23/2025,657,
08VAL0025,FR,,Granted,08VAL0025-FR-EPT,10761098.2,9/23/2010,17,9/23/2026,731,
08VAL0025,KR,,Granted,08VAL0025-KR-PCT,2012-7007566,3/23/2012,8,7/14/2024,373,6/16/2024
08VAL0025,KR,,Granted,08VAL0025-KR-PCT,2012-7007566,3/23/2012,9,7/14/2025,364,
08VAL0025,KR,,Granted,08VAL0025-KR-PCT,2012-7007566,3/23/2012,10,7/14/2026,595,
09ATO0001,CN,,Granted,09ATO0001-CN-PCT,201180012033.2,9/3/2012,15,3/1/2025,878,2/16/2025
09ATO0001,CN,,Granted,09ATO0001-CN-PCT,201180012033.2,9/3/2012,16,3/1/2026,1134,
09ATO0001,DE,,Granted,09ATO0001-DE-EPT,11712364.6,3/1/2011,15,3/1/2025,1326,3/24/2025
09ATO0001,DE,,Granted,09ATO0001-DE-EPT,11712364.6,3/1/2011,16,3/1/2026,1642,
09ATO0001,FR,,Granted,09ATO0001-FR-EPT,11712364.6,3/1/2011,15,3/1/2025,544,3/24/2025
09ATO0001,FR,,Granted,09ATO0001-FR-EPT,11712364.6,3/1/2011,16,3/1/2026,656,
09ATO0001,GB,,Granted,09ATO0001-GB-EPT,11712364.6,3/1/2011,15,3/1/2025,511,3/26/2025
09ATO0001,GB,,Granted,09ATO0001-GB-EPT,11712364.6,3/1/2011,16,3/1/2026,630,
09ATO0001,KR,,Abandoned,09ATO0001-KR-PCT,2012-7022813,8/31/2012,9,9/12/2024,452,8/16/2024
09ATO0001,KR,,Abandoned,09ATO0001-KR-PCT,2012-7022813,8/31/2012,10,9/12/2025,669,
09ATO0001,US,,Granted,09ATO0001-US-CNT,14/669242,3/26/2015,8,5/21/2025,4047,5/21/2025
09SFS0001,CN,,Granted,09SFS0001-CN-PCT,201080035969.2,2/14/2012,15,8/24/2024,867,7/29/2024
09SFS0001,CN,,Granted,09SFS0001-CN-PCT,201080035969.2,2/14/2012,16,8/24/2025,1134,
09SFS0001,CN,,Granted,09SFS0001-CN-PCT,201080035969.2,2/14/2012,17,8/24/2026,1134,
09SFS0001,DE,,Granted,09SFS0001-DE-EPT,10747555.0,8/24/2010,15,8/24/2024,1308,8/24/2024
09SFS0001,DE,,Granted,09SFS0001-DE-EPT,10747555.0,8/24/2010,16,8/24/2025,1645,
09SFS0001,DE,,Granted,09SFS0001-DE-EPT,10747555.0,8/24/2010,17,8/24/2026,1867,
09SFS0001,FR,,Abandoned,09SFS0001-FR-EPT,10747555.0,8/24/2010,15,8/24/2024,537,8/24/2024
09SFS0001,FR,,Abandoned,09SFS0001-FR-EPT,10747555.0,8/24/2010,16,8/24/2025,600,
09SFS0001,FR,,Abandoned,09SFS0001-FR-EPT,10747555.0,8/24/2010,17,8/24/2026,690,
09SFS0001,JP,,Abandoned,09SFS0001-JP-PCT,2012-526901,2/27/2012,10,8/7/2024,733,7/16/2024
09SFS0001,JP,,Abandoned,09SFS0001-JP-PCT,2012-526901,2/27/2012,11,8/7/2025,772,
09SFS0001,JP,,Abandoned,09SFS0001-JP-PCT,2012-526901,2/27/2012,12,8/7/2026,771,
09SFS0001,KR,,Granted,09SFS0001-KR-PCD,2016-7006436,8/24/2010,9,6/22/2025,258,5/29/2025
09SFS0001,KR,,Granted,09SFS0001-KR-PCD,2016-7006436,8/24/2010,10,6/22/2026,440,
10120,GC,,Granted,10120-GC-DIV[2],2012/20249,1/10/2012,18,3/1/2025,2020,2/16/2025
10120,GC,,Granted,10120-GC-DIV[2],2012/20249,1/10/2012,19,3/1/2026,2073,
10120,GC,A,Granted,10120-GC-NP,2008/10096,2/5/2008,18,3/1/2025,2020,2/16/2025
10120,GC,A,Granted,10120-GC-NP,2008/10096,2/5/2008,19,3/1/2026,2073,
10120,GC,B,Granted,10120-GC-DIV[1],GCC/P/2012/20248,1/10/2012,18,3/1/2025,2020,2/16/2025
10120,GC,B,Granted,10120-GC-DIV[1],GCC/P/2012/20248,1/10/2012,19,3/1/2026,2073,
10124,CN,,Granted,10124-CN-PCT,200680031516.6,2/28/2008,19,8/10/2024,1144,7/16/2024
10124,CN,,Granted,10124-CN-PCT,200680031516.6,2/28/2008,20,8/10/2025,1134,
10124,ES,,Granted,10124-ES-EPA,05018878.8,8/31/2005,20,8/31/2024,586,8/29/2024
10124,GC,,Granted,10124-GC-NP,GCC/P/2006/6094,4/11/2006,20,3/1/2025,2126,2/16/2025
10124,IN,,Granted,10124-IN-PCT,1783/DELNP/2008,2/28/2008,19,8/10/2024,603,7/26/2024
10124,IN,,Granted,10124-IN-PCT,1783/DELNP/2008,2/28/2008,20,8/10/2025,545,
10124,JP,,Granted,10124-JP-PCT,2008-528590,2/29/2008,13,3/29/2025,486,2/28/2025
10124,JP,,Granted,10124-JP-PCT,2008-528590,2/29/2008,14,3/29/2026,951,
10124,US,,Granted,10124-US-PCT,11/990173,2/23/2009,12,8/18/2025,8287,
10127,CN,,Granted,10127-CN-PCT,200680038964.9,5/16/2008,19,9/26/2024,1144,8/29/2024
10127,CN,,Granted,10127-CN-PCT,200680038964.9,5/16/2008,20,9/26/2025,1134,
10127,GC,,Granted,10127-GC-NP,GCC/P/2006/7071,10/28/2006,20,3/1/2025,2126,2/16/2025
10127,IN,,Granted,10127-IN-PCT,2688/DELNP/2008,3/31/2008,19,9/26/2024,603,9/13/2024
10127,IN,,Granted,10127-IN-PCT,2688/DELNP/2008,3/31/2008,20,9/26/2025,545,
10127,IR,,Granted,10127-IR-NP,38507431,10/18/2006,19,10/18/2024,188,9/29/2024
10127,IR,,Granted,10127-IR-NP,38507431,10/18/2006,20,10/18/2025,142,
10134,CN,,Granted,10134-CN-PCT,200580028154.0,3/15/2007,20,7/7/2024,1144,6/16/2024
10134,IN,,Granted,10134-IN-PCT,1032/DELNP/2007,2/7/2007,20,7/7/2024,603,6/21/2024
10134,IR,,Granted,10134-IR-NP,38405351,8/15/2005,20,8/15/2024,363,7/16/2024
10134,KR,,Granted,10134-KR-PCT,10-2007-7004067,2/21/2007,14,12/28/2024,328,11/29/2024
10134,KR,,Granted,10134-KR-PCT,10-2007-7004067,2/21/2007,15,12/28/2025,332,
10145,GC,,Granted,10145-GC-NP,GCC/P/2006/6735,8/7/2006,20,3/1/2025,2126,2/16/2025
10145,IN,,Granted,10145-IN-PCT,1379/DELNP/2008,2/18/2008,20,6/13/2025,593,5/30/2025
10145,IR,,Granted,10145-IR-NP,38505270,8/6/2006,19,8/6/2024,363,7/16/2024
10145,IR,,Granted,10145-IR-NP,38505270,8/6/2006,20,8/6/2025,142,
10150,CN,,Granted,10150-CN-PCT,200680027798.2,2/22/2008,20,6/13/2025,1127,5/16/2025
10150,GC,,Granted,10150-GC-NP,GCC/P/2006/6687,7/29/2006,20,3/1/2025,2126,2/16/2025
10150,ID,,Granted,10150-ID-PCT,W-00200800232,1/22/2008,20,5/13/2025,556,4/16/2025
10150,IN,,Granted,10150-IN-PCT,10228/DELNP/2007,12/13/2007,20,6/13/2025,593,5/30/2025
10150,IR,,Granted,10150-IR-NP,38505082,7/25/2006,19,7/25/2024,363,6/29/2024
10150,IR,,Granted,10150-IR-NP,38505082,7/25/2006,20,7/25/2025,142,
10150,JP,,Granted,10150-JP-PCT,2008-523148,1/29/2008,14,5/18/2025,779,4/29/2025
10150,JP,,Granted,10150-JP-PCT,2008-523148,1/29/2008,15,5/18/2026,845,
10150,KR,,Granted,10150-KR-PCT,10-2008-7004835,2/28/2008,14,2/28/2025,672,1/29/2025
10150,KR,,Granted,10150-KR-PCT,10-2008-7004835,2/28/2008,15,2/28/2026,681,
10151,IN,,Abandoned,10151-IN-PCT,1803/DELNP/2008,2/29/2008,19,8/3/2024,603,7/19/2024
10151,IN,,Abandoned,10151-IN-PCT,1803/DELNP/2008,2/29/2008,20,8/3/2025,545,
10153,CN,,Granted,10153-CN-PCT,200680038974.2,5/16/2008,19,9/6/2024,1144,8/16/2024
10153,CN,,Granted,10153-CN-PCT,200680038974.2,5/16/2008,20,9/6/2025,1134,
10153,GC,,Granted,10153-GC-NP,GCC/P/2006/6954,9/20/2006,20,3/1/2025,2126,2/16/2025
10153,IN,,Granted,10153-IN-PCT,2689/DELNP/2008,3/31/2008,19,9/6/2024,603,8/23/2024
10153,IN,,Granted,10153-IN-PCT,2689/DELNP/2008,3/31/2008,20,9/6/2025,545,
10153,IR,,Granted,10153-IR-NP,38507450,10/21/2006,19,10/21/2024,188,9/29/2024
10153,IR,,Granted,10153-IR-NP,38507450,10/21/2006,20,10/21/2025,142,
10153,JP,,Granted,10153-JP-PCT,2008535912,4/21/2008,13,2/15/2025,486,1/16/2025
10153,JP,,Granted,10153-JP-PCT,2008535912,4/21/2008,14,2/15/2026,668,
10154,IR,,Granted,10154-IR-NP,38507433,10/18/2006,19,10/18/2024,188,9/29/2024
10154,IR,,Granted,10154-IR-NP,38507433,10/18/2006,20,10/18/2025,142,
10159,GC,,Granted,10159-GC-NP,GCC/P/2008/9902,1/6/2008,18,3/1/2025,2020,2/16/2025
10159,GC,,Granted,10159-GC-NP,GCC/P/2008/9902,1/6/2008,19,3/1/2026,2073,
10ATO0001,CN,,Granted,10ATO0001-CN-PCT,201180052687.8,4/28/2013,14,10/11/2024,856,9/16/2024
10ATO0001,CN,,Granted,10ATO0001-CN-PCT,201180052687.8,4/28/2013,15,10/11/2025,858,
10ATO0001,CN,,Granted,10ATO0001-CN-PCT,201180052687.8,4/28/2013,16,10/11/2026,1134,
10ATO0001,DE,,Granted,10ATO0001-DE-EPT,11779488.3,10/11/2011,14,10/11/2024,1150,10/24/2024
10ATO0001,DE,,Granted,10ATO0001-DE-EPT,11779488.3,10/11/2011,15,10/11/2025,1420,
10ATO0001,DE,,Granted,10ATO0001-DE-EPT,11779488.3,10/11/2011,16,10/11/2026,1642,
10ATO0001,FR,,Granted,10ATO0001-FR-EPT,11779488.3,10/11/2011,14,10/11/2024,474,10/24/2024
10ATO0001,FR,,Granted,10ATO0001-FR-EPT,11779488.3,10/11/2011,15,10/11/2025,582,
10ATO0001,FR,,Granted,10ATO0001-FR-EPT,11779488.3,10/11/2011,16,10/11/2026,656,
10ATO0001,GB,,Granted,10ATO0001-GB-EPT,11779488.3,10/11/2011,14,10/11/2024,423,10/26/2024
10ATO0001,GB,,Granted,10ATO0001-GB-EPT,11779488.3,10/11/2011,15,10/11/2025,537,
10ATO0001,GB,,Granted,10ATO0001-GB-EPT,11779488.3,10/11/2011,16,10/11/2026,630,
10ATO0001,IT,,Granted,10ATO0001-IT-EPT,11779488.3,10/11/2011,14,10/11/2024,716,10/16/2024
10ATO0001,IT,,Granted,10ATO0001-IT-EPT,11779488.3,10/11/2011,15,10/11/2025,829,
10ATO0001,IT,,Granted,10ATO0001-IT-EPT,11779488.3,10/11/2011,16,10/11/2026,827,
10ATO0001,KR,,Granted,10ATO0001-KR-PCT,2013-7013685,5/28/2013,9,3/13/2025,479,2/16/2025
10ATO0001,KR,,Granted,10ATO0001-KR-PCT,2013-7013685,5/28/2013,10,3/13/2026,750,
10ATO0006,CN,,Granted,10ATO0006-CN-PCT,201180053461.X,5/6/2013,14,10/11/2024,856,9/16/2024
10ATO0006,CN,,Granted,10ATO0006-CN-PCT,201180053461.X,5/6/2013,15,10/11/2025,858,
10ATO0006,CN,,Granted,10ATO0006-CN-PCT,201180053461.X,5/6/2013,16,10/11/2026,1134,
10ATO0006,DE,,Granted,10ATO0006-DE-EPT,11774146.2,10/11/2011,14,10/11/2024,1150,10/24/2024
10ATO0006,DE,,Granted,10ATO0006-DE-EPT,11774146.2,10/11/2011,15,10/11/2025,1420,
10ATO0006,DE,,Granted,10ATO0006-DE-EPT,11774146.2,10/11/2011,16,10/11/2026,1642,
10ATO0006,FR,,Granted,10ATO0006-FR-EPT,11774146.2,10/11/2011,14,10/11/2024,474,10/24/2024
10ATO0006,FR,,Granted,10ATO0006-FR-EPT,11774146.2,10/11/2011,15,10/11/2025,582,
10ATO0006,FR,,Granted,10ATO0006-FR-EPT,11774146.2,10/11/2011,16,10/11/2026,656,
10ATO0006,GB,,Granted,10ATO0006-GB-EPT,11774146.2,10/11/2011,14,10/11/2024,423,10/26/2024
10ATO0006,GB,,Granted,10ATO0006-GB-EPT,11774146.2,10/11/2011,15,10/11/2025,537,
10ATO0006,GB,,Granted,10ATO0006-GB-EPT,11774146.2,10/11/2011,16,10/11/2026,630,
10ATO0006,IT,,Granted,10ATO0006-IT-EPT,11774146.2,10/11/2011,14,10/11/2024,716,10/16/2024
10ATO0006,IT,,Granted,10ATO0006-IT-EPT,11774146.2,10/11/2011,15,10/11/2025,829,
