Docket Number,Country,Sub Case,Status,Other Reference No.,Application No,Filing Date,No,Due Date,Amount,CPI Payment Date
14CHEM0066,GB,,Granted,14CHEM0066-GB-EPT,15813781.0,12/15/2015,10,12/15/2024,243,12/26/2024
14CHEM0066,GB,,Granted,14CHEM0066-GB-EPT,15813781.0,12/15/2015,11,12/15/2025,289,
14CHEM0066,GC,,Granted,14CHEM0066-GC-NP,2015/30641,12/22/2015,11,3/1/2025,1646,2/16/2025
14CHEM0066,GC,,Granted,14CHEM0066-GC-NP,2015/30641,12/22/2015,12,3/1/2026,1699,
14CHEM0066,NL,,Granted,14CHEM0066-NL-EPT,15813781.0,12/15/2015,10,12/15/2024,474,12/26/2024
14CHEM0066,NL,,Granted,14CHEM0066-NL-EPT,15813781.0,12/15/2015,11,12/15/2025,631,
14CHEM0066,US,,Granted,14CHEM0066-US-PCT,15/538356,6/21/2017,8,7/8/2026,4047,
14CHEM0067,CN,,Granted,14CHEM0067-CN-PCT,201580070069.4,6/21/2017,10,12/15/2024,581,11/16/2024
14CHEM0067,CN,,Granted,14CHEM0067-CN-PCT,201580070069.4,6/21/2017,11,12/15/2025,582,
14CHEM0067,DE,,Granted,14CHEM0067-DE-EPT,15813782.8,12/15/2015,10,12/15/2024,509,12/22/2024
14CHEM0067,DE,,Granted,14CHEM0067-DE-EPT,15813782.8,12/15/2015,11,12/15/2025,681,
14CHEM0067,FR,,Granted,14CHEM0067-FR-EPT,15813782.8,12/15/2015,10,12/15/2024,264,12/24/2024
14CHEM0067,FR,,Granted,14CHEM0067-FR-EPT,15813782.8,12/15/2015,11,12/15/2025,332,
14CHEM0067,GB,,Granted,14CHEM0067-GB-EPT,15813782.8,12/15/2015,10,12/15/2024,243,12/26/2024
14CHEM0067,GB,,Granted,14CHEM0067-GB-EPT,15813782.8,12/15/2015,11,12/15/2025,289,
14CHEM0067,NL,,Granted,14CHEM0067-NL-EPT,15813782.8,12/15/2015,10,12/15/2024,474,12/26/2024
14CHEM0067,NL,,Granted,14CHEM0067-NL-EPT,15813782.8,12/15/2015,11,12/15/2025,631,
14CHEM0068,CN,,Granted,14CHEM0068-CN-PCT,201580070074.5,6/21/2017,10,12/15/2024,581,11/16/2024
14CHEM0068,CN,,Granted,14CHEM0068-CN-PCT,201580070074.5,6/21/2017,11,12/15/2025,582,
14CHEM0068,EP,,Pending,14CHEM0068-EP-EPT,15813780.2,7/11/2017,10,12/15/2024,2077,12/26/2024
14CHEM0068,EP,,Pending,14CHEM0068-EP-EPT,15813780.2,7/11/2017,11,12/15/2025,2222,
14CHEM0068,GC,A,Granted,14CHEM0068-GC-NP,2015/30623,12/20/2015,11,3/1/2025,1646,2/16/2025
14CHEM0068,GC,A,Granted,14CHEM0068-GC-NP,2015/30623,12/20/2015,12,3/1/2026,1699,
14CHEM0068,IN,,Granted,14CHEM0068-IN-PCT,201717022046,6/23/2017,10,12/15/2024,244,11/29/2024
14CHEM0068,IN,,Granted,14CHEM0068-IN-PCT,201717022046,6/23/2017,11,12/15/2025,343,
14CHEM0069,CN,,Granted,14CHEM0069-CN-PCT,201580070326.4,6/22/2017,10,12/15/2024,581,11/16/2024
14CHEM0069,CN,,Granted,14CHEM0069-CN-PCT,201580070326.4,6/22/2017,11,12/15/2025,582,
14CHEM0069,DE,,Granted,14CHEM0069-DE-EPT,15817173.6,12/15/2015,10,12/15/2024,509,12/22/2024
14CHEM0069,DE,,Granted,14CHEM0069-DE-EPT,15817173.6,12/15/2015,11,12/15/2025,681,
14CHEM0069,FR,,Granted,14CHEM0069-FR-EPT,15817173.6,12/15/2015,10,12/15/2024,264,12/24/2024
14CHEM0069,FR,,Granted,14CHEM0069-FR-EPT,15817173.6,12/15/2015,11,12/15/2025,332,
14CHEM0069,GB,,Granted,14CHEM0069-GB-EPT,15817173.6,12/15/2015,10,12/15/2024,243,12/26/2024
14CHEM0069,GB,,Granted,14CHEM0069-GB-EPT,15817173.6,12/15/2015,11,12/15/2025,289,
14CHEM0069,GC,,Granted,14CHEM0069-GC-NP,201530642,12/22/2015,11,3/1/2025,1646,2/16/2025
14CHEM0069,GC,,Granted,14CHEM0069-GC-NP,201530642,12/22/2015,12,3/1/2026,1699,
14CHEM0069,NL,,Granted,14CHEM0069-NL-EPT,15817173.6,12/15/2015,10,12/15/2024,474,12/26/2024
14CHEM0069,NL,,Granted,14CHEM0069-NL-EPT,15817173.6,12/15/2015,11,12/15/2025,631,
14CHEM0069,US,,Granted,14CHEM0069-US-REI,17/061811,10/2/2020,8,4/2/2026,4047,
14CHEM0070,CN,,Granted,14CHEM0070-CN-PCT,201580084911.X,5/28/2018,10,12/15/2024,581,11/16/2024
14CHEM0070,CN,,Granted,14CHEM0070-CN-PCT,201580084911.X,5/28/2018,11,12/15/2025,582,
14CHEM0070,EP,,Granted,14CHEM0070-EP-EPT,15817174.4,7/5/2018,10,12/15/2024,2080,
14CHEM0070,GC,,Granted,14CHEM0070-GC-NP,2015/30640,12/22/2015,11,3/1/2025,1646,2/16/2025
14CHEM0070,GC,,Granted,14CHEM0070-GC-NP,2015/30640,12/22/2015,12,3/1/2026,1699,
14CHEM0070,IN,,Granted,14CHEM0070-IN-PCT,201817015330,4/23/2018,10,12/15/2024,244,11/29/2024
14CHEM0070,IN,,Granted,14CHEM0070-IN-PCT,201817015330,4/23/2018,11,12/15/2025,343,
14CHEM0070,KR,,Granted,14CHEM0070-KR-PCT,1020187015740,6/1/2018,4,10/14/2025,278,
14CHEM0070,KR,,Granted,14CHEM0070-KR-PCT,1020187015740,6/1/2018,5,10/14/2026,287,
14CHEM0070,SG,,Granted,14CHEM0070-SG-PCT,11201803424P,4/24/2018,10,12/15/2024,416,11/16/2024
14CHEM0070,SG,,Granted,14CHEM0070-SG-PCT,11201803424P,4/24/2018,11,12/15/2025,581,
14CHEM0070,FR,1,Granted,14CHEM0070-FR-EPP[1],15817174.4,7/5/2018,10,12/15/2024,264,12/24/2024
14CHEM0070,FR,1,Granted,14CHEM0070-FR-EPP[1],15817174.4,7/5/2018,11,12/15/2025,332,
14CHEM0070,NL,1,Granted,14CHEM0070-NL-EPP[1],15817174.4,7/5/2018,10,12/15/2024,474,12/26/2024
14CHEM0070,NL,1,Granted,14CHEM0070-NL-EPP[1],15817174.4,7/5/2018,11,12/15/2025,631,
14CHEM0070,DE,1,Granted,14CHEM0070-DE-EPP[1],15817174.4,7/5/2018,10,12/15/2024,509,12/22/2024
14CHEM0070,DE,1,Granted,14CHEM0070-DE-EPP[1],15817174.4,7/5/2018,11,12/15/2025,681,
14CHEM0080,CN,,Granted,14CHEM0080-CN-PCT,201680065183.2,5/8/2018,9,11/14/2024,305,10/16/2024
14CHEM0080,CN,,Granted,14CHEM0080-CN-PCT,201680065183.2,5/8/2018,10,11/14/2025,582,
